iter	Passed	Remaining
0	5	5437
1	10	5355
2	14	4814
3	18	4635
4	22	4535
5	26	4407
6	30	4352
7	35	4421
8	40	4452
9	46	4556
10	49	4494
11	56	4673
12	62	4734
13	65	4635
14	71	4665
15	73	4522
16	77	4457
17	80	4399
18	85	4390
19	89	4379
20	93	4352
21	97	4327
22	101	4319
23	105	4301
24	107	4187
25	110	4146
26	114	4117
27	118	4122
28	121	4055
29	124	4029
30	130	4070
31	135	4096
32	138	4071
33	142	4046
34	148	4086
35	151	4066
36	155	4038
37	158	4018
38	162	3999
39	165	3976
40	168	3952
41	170	3884
42	173	3859
43	176	3834
44	180	3826
45	183	3806
46	186	3788
47	189	3766
48	193	3748
49	196	3728
50	199	3709
51	202	3695
52	205	3676
53	208	3658
54	211	3640
55	215	3625
56	218	3609
57	221	3595
58	224	3583
59	227	3570
60	230	3555
61	234	3541
62	237	3528
63	240	3522
64	244	3511
65	247	3504
66	250	3491
67	253	3480
68	257	3471
69	260	3457
70	262	3432
71	265	3420
72	268	3409
73	272	3414
74	277	3421
75	281	3422
76	285	3418
77	289	3416
78	292	3412
79	296	3407
80	299	3402
81	303	3397
82	307	3393
83	310	3389
84	314	3380
85	317	3369
86	320	3360
87	324	3365
88	328	3366
89	332	3357
90	335	3349
91	338	3340
92	341	3331
93	344	3321
94	347	3313
95	350	3304
96	354	3299
97	357	3289
98	360	3278
99	363	3272
100	366	3264
101	370	3258
102	372	3248
103	376	3241
104	379	3232
105	382	3225
106	385	3216
107	388	3207
108	391	3201
109	394	3193
110	397	3187
111	401	3181
112	405	3179
113	408	3177
114	412	3172
115	415	3166
116	419	3167
117	423	3161
118	426	3155
119	429	3148
120	432	3141
121	435	3137
122	439	3132
123	442	3126
124	445	3119
125	449	3114
126	452	3107
127	455	3100
128	459	3101
129	464	3106
130	468	3105
131	471	3101
132	475	3096
133	478	3091
134	481	3087
135	484	3080
136	488	3075
137	491	3067
138	494	3061
139	497	3058
140	501	3053
141	504	3048
142	507	3041
143	510	3035
144	514	3031
145	517	3025
146	520	3018
147	523	3011
148	526	3009
149	530	3007
150	533	3002
151	537	2995
152	539	2988
153	543	2983
154	546	2977
155	549	2970
156	552	2965
157	555	2958
158	558	2953
159	561	2948
160	563	2938
161	566	2931
162	569	2925
163	572	2919
164	575	2914
165	578	2908
166	581	2903
167	585	2897
168	588	2894
169	592	2890
170	595	2885
171	598	2880
172	601	2874
173	604	2870
174	608	2866
175	611	2861
176	614	2857
177	617	2853
178	621	2850
179	624	2846
180	628	2842
181	631	2836
182	634	2831
183	637	2826
184	640	2821
185	643	2817
186	647	2814
187	650	2809
188	653	2804
189	657	2801
190	661	2801
191	665	2800
192	669	2798
193	672	2795
194	676	2792
195	680	2789
196	683	2786
197	686	2782
198	690	2779
199	693	2775
200	697	2771
201	700	2766
202	703	2762
203	706	2758
204	709	2753
205	713	2748
206	716	2743
207	719	2741
208	724	2740
209	727	2736
210	730	2731
211	733	2727
212	737	2723
213	740	2718
214	743	2713
215	746	2708
216	749	2704
217	752	2700
218	755	2695
219	758	2690
220	762	2687
221	766	2685
222	770	2683
223	774	2682
224	777	2678
225	780	2674
226	784	2671
227	787	2666
228	791	2665
229	795	2661
230	797	2656
231	800	2651
232	803	2645
233	807	2642
234	810	2637
235	813	2633
236	816	2629
237	819	2624
238	822	2620
239	826	2615
240	829	2611
241	832	2608
242	836	2604
243	839	2600
244	842	2596
245	845	2592
246	849	2588
247	852	2583
248	855	2579
249	858	2575
250	861	2571
251	864	2567
252	867	2562
253	870	2557
254	873	2553
255	877	2550
256	880	2546
257	884	2542
258	887	2538
259	890	2534
260	894	2532
261	897	2528
262	900	2524
263	903	2519
264	907	2516
265	911	2514
266	914	2509
267	917	2506
268	920	2501
269	923	2497
270	927	2494
271	930	2490
272	933	2486
273	936	2481
274	939	2477
275	943	2473
276	946	2470
277	949	2466
278	953	2462
279	956	2459
280	959	2455
281	963	2452
282	966	2449
283	970	2445
284	973	2442
285	976	2438
286	979	2434
287	983	2430
288	986	2427
289	989	2423
290	992	2419
291	996	2415
292	999	2411
293	1002	2408
294	1006	2405
295	1009	2401
296	1013	2398
297	1016	2394
298	1019	2390
299	1022	2386
300	1026	2382
301	1029	2378
302	1032	2374
303	1035	2371
304	1038	2367
305	1041	2363
306	1045	2359
307	1048	2354
308	1051	2350
309	1054	2346
310	1057	2342
311	1060	2338
312	1063	2334
313	1066	2330
314	1069	2326
315	1072	2321
316	1076	2318
317	1078	2313
318	1081	2309
319	1085	2306
320	1088	2301
321	1091	2297
322	1094	2293
323	1097	2289
324	1100	2285
325	1103	2281
326	1108	2280
327	1111	2277
328	1114	2273
329	1117	2269
330	1121	2267
331	1125	2264
332	1128	2260
333	1131	2256
334	1135	2254
335	1139	2251
336	1142	2247
337	1145	2243
338	1148	2239
339	1152	2236
340	1155	2232
341	1158	2228
342	1161	2224
343	1164	2220
344	1167	2217
345	1171	2213
346	1174	2210
347	1177	2206
348	1181	2203
349	1185	2201
350	1190	2201
351	1194	2198
352	1198	2197
353	1202	2195
354	1206	2191
355	1209	2188
356	1213	2185
357	1216	2182
358	1220	2178
359	1225	2178
360	1236	2187
361	1239	2184
362	1242	2180
363	1246	2178
364	1249	2174
365	1253	2170
366	1256	2166
367	1259	2163
368	1263	2159
369	1265	2155
370	1269	2151
371	1272	2147
372	1276	2144
373	1279	2141
374	1282	2137
375	1286	2134
376	1289	2130
377	1292	2126
378	1295	2122
379	1298	2118
380	1301	2115
381	1305	2111
382	1308	2107
383	1311	2103
384	1315	2101
385	1319	2099
386	1323	2095
387	1327	2094
388	1330	2090
389	1334	2086
390	1337	2082
391	1340	2079
392	1343	2075
393	1346	2071
394	1349	2067
395	1353	2064
396	1356	2060
397	1360	2057
398	1363	2054
399	1367	2051
400	1371	2048
401	1376	2047
402	1380	2044
403	1383	2041
404	1388	2039
405	1392	2037
406	1396	2034
407	1400	2031
408	1403	2028
409	1406	2024
410	1410	2021
411	1413	2017
412	1417	2015
413	1424	2016
414	1428	2013
415	1432	2010
416	1437	2009
417	1441	2006
418	1444	2003
419	1447	1999
420	1452	1997
421	1455	1993
422	1458	1989
423	1461	1985
424	1464	1981
425	1468	1978
426	1471	1974
427	1474	1970
428	1477	1966
429	1480	1962
430	1483	1958
431	1486	1954
432	1489	1950
433	1492	1946
434	1495	1942
435	1499	1939
436	1502	1935
437	1505	1931
438	1508	1927
439	1511	1923
440	1516	1921
441	1520	1920
442	1524	1916
443	1527	1912
444	1530	1909
445	1533	1905
446	1537	1901
447	1539	1897
448	1542	1893
449	1545	1889
450	1549	1885
451	1552	1882
452	1555	1878
453	1558	1874
454	1561	1870
455	1565	1867
456	1568	1863
457	1571	1860
458	1574	1856
459	1578	1852
460	1581	1849
461	1584	1845
462	1587	1841
463	1590	1837
464	1593	1833
465	1596	1829
466	1599	1825
467	1603	1823
468	1607	1819
469	1610	1816
